Make,Fuel-Type,Aspiration,Num-of-Doors,Body-Style,Drive-Wheels,Engine-Location,Wheel-Base,Length,Width,Height,Curb-Weight,Engine-Type,Cylinders,Engine-Size,Fuel-System,Bore,Stroke,Compression-ratio,Horsepower,Peak-rpm,City-MPG,Highway-MPG,Price,MPG-difference,Car-Area
alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4.0,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,13495,6,528019.904
alfa-romero,gas,std,2.0,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4.0,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500,6,528019.904
alfa-romero,gas,std,2.0,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6.0,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500,7,587592.6399999999
audi,gas,std,4.0,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4.0,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950,6,634816.956
audi,gas,std,4.0,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5.0,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450,4,636734.8319999999
audi,gas,std,2.0,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5.0,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250,6,624189.969
audi,gas,std,4.0,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5.0,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710,6,766364.0460000001
audi,gas,std,4.0,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5.0,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920,6,766364.0460000001
audi,gas,turbo,4.0,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5.0,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875,3,769115.802
bmw,gas,std,2.0,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4.0,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430,6,622095.5519999999
